ORIGINAL SENTENCE,Sentence,Command,CATEGORY
"She put on her coat and grabbed her keys, ready to leave. Let's swap our lunch for a change of pace.",,,NON COMMAND
He gazed out the window at the stars twinkling in the sky. I have to replace the filter in my air conditioning unit.,,,NON COMMAND
"The music filled the room, setting the mood for the evening. They want to convert the old warehouse into a co-working space.",,,NON COMMAND
"She sighed deeply, feeling overwhelmed by her workload. I need to revise my lesson plans for the upcoming school year.",,,NON COMMAND
"He was lost in thought, trying to solve a difficult problem. She wants to amend her tax return to claim additional deductions.",,,NON COMMAND
The sunset painted the sky with brilliant hues of orange and pink. Let's exchange stories about our travels.,,,NON COMMAND
The baby giggled as her mother tickled her. I had to substitute almond milk for regular milk in the recipe.,,,NON COMMAND
"The car sped down the highway, the wind rushing past. I need to rewrite this email to make it more professional.",,,NON COMMAND
The scent of freshly baked bread wafted through the air. He wants to update his computer software to the latest version.,,,NON COMMAND
"She stood at the edge of the cliff, taking in the breathtaking view. Can you correct the grammar in this sentence?",,,NON COMMAND
The sound of waves crashing against the shore was soothing. I need to alter the hemline of this dress.,,,NON COMMAND
"He paused for a moment, considering his next move. She wants to modify her diet to include more protein.",,,NON COMMAND
"The forest was quiet, except for the occasional rustle of leaves. Let's edit the video to remove the parts that don't work.",,,NON COMMAND
"The room was dimly lit, creating a cozy atmosphere. I have to swap out the lightbulb in the lamp.",,,NON COMMAND
"She twirled around in her new dress, feeling beautiful. They want to replace the carpet with hardwood flooring.",,,NON COMMAND
"He laughed at the joke, unable to hold back. I need to convert this PDF file to a Word document.",,,NON COMMAND
"The snow was falling gently, blanketing the ground in white. She wants to revise her novel to make the plot more engaging.",,,NON COMMAND
The fire crackled merrily in the fireplace. Let's amend the proposal to include additional funding.,,,NON COMMAND
"She leaned back in her chair, closing her eyes for a moment. I had to exchange my foreign currency at the airport.",,,NON COMMAND
"He took a deep breath, feeling refreshed and rejuvenated. I need to substitute turkey bacon for regular bacon in the recipe.",,,NON COMMAND
"The clock ticked away the minutes, marking the passage of time. I need to rewrite my resume to highlight my skills.",,,NON COMMAND
"The river flowed gently, reflecting the blue sky above. He wants to update his wardrobe with some new clothes.",,,NON COMMAND
"She sipped her tea, enjoying the warmth spreading through her body. I need to modify my car's engine to improve performance.",,,NON COMMAND
He admired the intricate design of the antique watch. She wants to edit the photos to remove the red-eye effect.,,,NON COMMAND
The clouds drifted lazily across the sky. Let's swap out these chairs for some more comfortable ones.,,,NON COMMAND
The baby slept soundly in her crib. I have to replace the windshield wipers on my car.,,,NON COMMAND
"She hugged her friend tightly, grateful for their support. They want to convert the garage into a home gym.",,,NON COMMAND
He savored the taste of the homemade pie. I need to revise my essay to make the arguments more persuasive.,,,NON COMMAND
"The sun peeked through the clouds, casting a warm glow on everything. He wants to amend the lease agreement to include a pet policy.",,,NON COMMAND
"The tree rustled in the wind, its leaves shimmering in the sunlight. Let's exchange ideas on how to improve productivity.",,,NON COMMAND
"She hummed a tune as she worked, feeling content. I had to substitute baking powder for baking soda in the recipe.",,,NON COMMAND
He marveled at the beauty of the mountain range in the distance. I need to rewrite this code to fix the bugs.,,,NON COMMAND
The smell of the ocean was invigorating. She wants to update her phone to the latest model.,,,NON COMMAND
The wind chimes tinkled softly in the breeze. I need to alter the length of these pants.,,,NON COMMAND
"She smiled at the memory, feeling happy. He wants to modify his workout routine to focus on cardio.",,,NON COMMAND
He ran his hand over the smooth surface of the stone. Let's edit this article to make it more concise.,,,NON COMMAND
I have to swap the tires on my car for winter ones. The average age of the students in the class is 22.,,,NON COMMAND
My grandmother just turned 90 years old. New York City is one of the most populated cities in the United States.,,,NON COMMAND
New York City is known for its skyscrapers and bustling streets. Her favorite color is blue because it reminds her of the ocean.,,,NON COMMAND
Her favorite color is blue. Australia is a beautiful country with diverse wildlife.,,,NON COMMAND
Japan is a country that has a rich cultural heritage. The date for the meeting has been set for next Monday.,,,NON COMMAND
The date of our wedding is set for June 12th. The duration of the movie is two hours and fifteen minutes.,,,NON COMMAND
The duration of the movie is two hours and fifteen minutes. He won a large sum of money in the lottery.,,,NON COMMAND
She won a prize of $500 in the raffle. The number of people attending the concert exceeded expectations.,,,NON COMMAND
There were a total of ten participants in the competition. The percentage of people who voted in the election was high.,,,NON COMMAND
The percentage of people who voted in the last election was 60%. Her phone number is 15235-1234.,,,NON COMMAND
I need to update my phone number in the system. The age of the tree can be determined by counting its rings.,,,NON COMMAND
The age of the building is over 100 years. Mexico City is one of the largest cities in the world.,,,NON COMMAND
Los Angeles is a city that is famous for its film industry. The color of the sky at sunset is a beautiful shade of orange.,,,NON COMMAND
The color of the sky changes throughout the day. Canada is known for its friendly people and stunning natural landscapes.,,,NON COMMAND
Canada is a country that is known for its natural beauty. The date of their wedding anniversary is September 3rd.,,,NON COMMAND
The date of our anniversary is coming up soon. The duration of the flight from New York to London is approximately six hours.,,,NON COMMAND
The duration of the flight is six hours and forty-five minutes. He invested a large sum of money in the stock market.,,,NON COMMAND
"He won a jackpot of $10,000 at the casino. The number of pages in the book is over 500.",,,NON COMMAND
There were a total of twenty-five students in the class. The percentage of students who passed the exam was 85%.,,,NON COMMAND
The percentage of people who prefer coffee over tea is 60%. His phone number is easy to remember: 555-5555.,,,NON COMMAND
I need to call my doctor's office and update my phone number. The age of the building can be estimated by its architecture.,,,NON COMMAND
The age of the dog is four years old. Paris is often referred to as the city of love.,,,NON COMMAND
Paris is a city that is renowned for its fashion industry. The color of her eyes is a deep shade of brown.,,,NON COMMAND
The color of the leaves changes in the fall. Japan is a country with a rich cultural heritage.,,,NON COMMAND
Brazil is a country that is famous for its beaches and soccer. The date of the party has been changed to next Saturday.,,,NON COMMAND
The date of the meeting is next Tuesday. The duration of the concert was three hours.,,,NON COMMAND
The duration of the concert is two hours and thirty minutes. She won a small amount of money in the casino.,,,NON COMMAND
"She received a bonus of $1,000 for her hard work. The number of employees at the company is 50.",,,NON COMMAND
There were a total of fifty guests at the wedding. The percentage of rainfall in the region was 75%.,,,NON COMMAND
The percentage of people who use social media is 80%. His phone number is out of service.,,,NON COMMAND
I need to find my friend's phone number and give her a call. The age of the wine can be determined by its vintage.,,,NON COMMAND
The age of the car is twelve years old. London is a vibrant and multicultural city.,,,NON COMMAND
London is a city that is known for its history and architecture. The color of the flowers in the garden is a mix of pink and purple.,,,NON COMMAND
The color of the flowers in the garden is vibrant. Brazil is a country known for its passionate people and samba music.,,,NON COMMAND
Australia is a country that is famous for its unique wildlife. The date of the event is still to be determined.,,,NON COMMAND
The date of the party is next Saturday. The duration of the play is two and a half hours.,,,NON COMMAND
The duration of the game is two hours and fifteen minutes. He donated a large sum of money to charity.,,,NON COMMAND
He saved up enough money to buy a new car. The number of books on the shelf is 30.,,,NON COMMAND
There were a total of one hundred people at the conference. The percentage of students who failed the exam was 15%.,,,NON COMMAND
The percentage of people who exercise regularly is 40%. Her phone number is listed in the directory.,,,NON COMMAND
I need to update my phone number on my resume. The age of the painting can be determined by its style.,,,NON COMMAND
The age of the tree is over one hundred years old. Beijing is the capital city of China.,,,NON COMMAND
Tokyo is a city that is famous for its technology and food. The color of the car is a metallic silver.,,,NON COMMAND
The color of the sky at sunset is breathtaking. South Africa is a country with diverse cultures and stunning wildlife.,,,NON COMMAND
Italy is a country that is renowned for its cuisine and art. The date of the deadline is next Friday.,,,NON COMMAND
The date of the event is on the 20th of July. The duration of the lecture was one hour.,,,NON COMMAND
The duration of the race is four hours. She earned a significant amount of money from her job.,,,NON COMMAND
"She received a loan of $50,000 to start her business. The number of goals scored in the match was five.",,,NON COMMAND
There were a total of one thousand applicants for the job. The percentage of people who use public transportation is increasing.,,,NON COMMAND
The percentage of people who speak a second language is 50%. His phone number is difficult to remember: 555-8989.,,,NON COMMAND
I need to give my phone number to the receptionist at the hotel. The age of the dog can be determined by its teeth.,,,NON COMMAND
The age of the book is over fifty years old. Chicago is known for its deep dish pizza and architecture.,,,NON COMMAND
"Chicago is a city that is known for its architecture and deep-dish pizza. The color of the leaves in the fall is a mix of red, orange, and yellow.",,,NON COMMAND
She had to alter her plans when her flight was cancelled. He is 25 years of age and already a successful businessman.,,,NON COMMAND
He decided to modify the design to make it more user-friendly. New York City is known for its towering skyscrapers and bustling streets.,,,NON COMMAND
I need to edit this document before submitting it. The color of the sky was a beautiful shade of blue.,,,NON COMMAND
Can we swap shifts for next week? Canada is a country known for its friendly people and natural beauty.,,,NON COMMAND
The mechanic had to replace the faulty part in the engine. The date of the wedding is set for June 15th.,,,NON COMMAND
She was able to convert the file to a different format. The duration of the flight is approximately 6 hours.,,,NON COMMAND
The author had to revise the manuscript based on feedback from the editor. He earned a lot of money from his successful business venture.,,,NON COMMAND
He needed to amend the contract to include the new terms. The number of attendees at the conference was over 500.,,,NON COMMAND
They decided to exchange gifts for their birthdays. The percentage of students who passed the exam was 85%.,,,NON COMMAND
She had to substitute the butter with margarine in the recipe. She is 32 years of age and has already traveled to 20 different countries.,,,NON COMMAND
The journalist had to rewrite the article to meet the word count. Los Angeles is a city known for its entertainment industry and warm weather.,,,NON COMMAND
The software needs to be updated to fix the bugs. The color of her dress was a vibrant shade of red.,,,NON COMMAND
He corrected the spelling errors in the report. Australia is a country known for its unique wildlife and vast landscapes.,,,NON COMMAND
The tailor was able to alter the dress to fit her perfectly. The date of the concert is set for August 10th.,,,NON COMMAND
They had to modify the recipe to accommodate for allergies. The duration of the movie is approximately 2 hours and 30 minutes.,,,NON COMMAND
I will edit the video to remove the unnecessary footage. She inherited a large sum of money from her grandparents.,,,NON COMMAND
Can we swap seats so I can sit by the window? The number of pages in the book is 400.,,,NON COMMAND
The broken window was replaced with a new one. The percentage of people who voted in the election was 70%.,,,NON COMMAND
She was able to convert the file to a PDF for easier sharing. He is only 18 years of age but has already won several awards for his artwork.,,,NON COMMAND
The author revised the ending of the book to provide more closure. Paris is a city known for its art museums and romantic atmosphere.,,,NON COMMAND
He amended the proposal to address the concerns raised by the board. The color of the flowers in the garden was a beautiful shade of pink.,,,NON COMMAND
They decided to exchange contact information before leaving the conference. Japan is a country known for its advanced technology and rich culture.,,,NON COMMAND
She substituted the cream with coconut milk in the recipe. The date of the meeting is set for September 5th.,,,NON COMMAND
The editor asked the writer to rewrite the article with a different angle. The duration of the play is approximately 2 hours.,,,NON COMMAND
The software automatically updates to the latest version. She won a large amount of money from the lottery.,,,NON COMMAND
He corrected the grammar mistakes in the email. The number of employees at the company is 100.,,,NON COMMAND
The tailor modified the pants to make them more tapered. The percentage of people who use social media is 80%.,,,NON COMMAND
She had to alter her travel plans due to unexpected circumstances. His phone number is 23542-9012.,,,NON COMMAND
They decided to edit the video to add some special effects. He is 50 years of age and has been working at the company for 25 years.,,,NON COMMAND
Can we swap cars for the weekend? London is a city known for its history and diverse culture.,,,NON COMMAND
The broken part in the machine was replaced with a new one. The color of the sunset was a stunning shade of orange.,,,NON COMMAND
She was able to convert the image to a higher resolution. Spain is a country known for its beautiful beaches and delicious cuisine.,,,NON COMMAND
The author revised the first chapter of the book to hook the reader. The date of the party is set for October 20th.,,,NON COMMAND
He amended the budget to allocate more funds for marketing. The duration of the class is approximately 1 hour and 30 minutes.,,,NON COMMAND
They exchanged pleasantries before the meeting began. She saved a lot of money by shopping during the Black Friday sales.,,,NON COMMAND
She substituted the tofu with tempeh in the recipe. The number of students in the class is 25.,,,NON COMMAND
The writer had to rewrite the entire script to meet the producer's vision. The percentage of people who exercise regularly is 60%.,,,NON COMMAND
The software can automatically correct spelling mistakes. He is 70 years of age and has been retired for 10 years.,,,NON COMMAND
The tailor altered the dress to make it shorter. Beijing is a city known for its ancient landmarks and modern architecture.,,,NON COMMAND
They modified the website to improve the user experience. The color of the ocean was a deep shade of blue.,,,NON COMMAND
Can we swap apartments for the summer? Brazil is a country known for its passionate people and vibrant culture.,,,NON COMMAND
The broken bulb in the lamp was replaced with a new one. The date of the festival is set for November 15th.,,,NON COMMAND
She was able to convert the video to a different aspect ratio. The duration of the game is approximately 3 hours.,,,NON COMMAND
The author revised the characters in the book to make them more relatable. She invested a large amount of money in the stock market.,,,NON COMMAND
"He amended the proposal to include a more detailed timeline. The number of books in the library is 10,000.",,,NON COMMAND
They exchanged business cards at the networking event. The percentage of people who prefer coffee over tea is 55%.,,,NON COMMAND
She substituted the beef with mushrooms in the recipe. He is 21 years of age and just started his first year of college.,,,NON COMMAND
The editor asked the writer to rewrite the article with a more upbeat tone. Sydney is a city known for its beauty,,,NON COMMAND
The software needs to be updated to ensure compatibility with the latest operating system. The sun is shining brightly today.,,,NON COMMAND
He corrected the punctuation errors in the essay. She always reads before going to bed.,,,NON COMMAND
The tailor modified the suit jacket to fit him better. The cat is sleeping peacefully on the windowsill.,,,NON COMMAND
She had to alter her workout routine due to an injury. He ran five miles this morning.,,,NON COMMAND
They decided to edit the photos to remove the red-eye effect. The flowers in the garden are blooming.,,,NON COMMAND
Can we swap rooms for the night? I love watching movies on the weekends.,,,NON COMMAND
The broken tire on the car was replaced with a new one. The book on the shelf is too high for me to reach.,,,NON COMMAND
She was able to convert the text to speech for accessibility purposes. She plays the piano beautifully.,,,NON COMMAND
The author revised the plot of the novel The restaurant down the street serves the best pizza.,,,NON COMMAND
The designer had to alter the dress to fit the model's measurements. He is studying to become a doctor.,,,NON COMMAND
He decided to modify his diet to include more vegetables. The baby is crying and needs to be fed.,,,NON COMMAND
She needed to edit her resume before submitting it to the employer. She is wearing a blue dress to the party.,,,NON COMMAND
Can we swap seats so I can sit next to my friend? The dog is barking loudly in the yard.,,,NON COMMAND
The old car was replaced with a new one. He enjoys playing basketball with his friends.,,,NON COMMAND
She was able to convert the audio file to a different format. The beach is crowded with people enjoying the sun.,,,NON COMMAND
The author had to revise the ending of the book to create a better impact. She is listening to her favorite song on the radio.,,,NON COMMAND
He needed to amend the proposal to add more details. The clock on the wall is ticking loudly.,,,NON COMMAND
They decided to exchange their contact information before leaving the meeting. He is working hard to finish his project on time.,,,NON COMMAND
She substituted the sugar with honey in the recipe. The tree in the backyard is starting to lose its leaves.,,,NON COMMAND
The journalist had to rewrite the article to make it more engaging. She is excited to start her new job next week.,,,NON COMMAND
The software needs to be updated to improve its functionality. The car needs to be washed and waxed.,,,NON COMMAND
He corrected the pronunciation of the difficult words. He is learning a new language in his spare time.,,,NON COMMAND
The tailor was able to alter the suit to fit him better. The painting on the wall is a beautiful landscape.,,,NON COMMAND
They had to modify their travel plans due to bad weather. She is making a delicious dinner for her family.,,,NON COMMAND
I will edit the presentation to include more visual aids. The computer is running slowly and needs to be restarted.,,,NON COMMAND
Can we swap our rooms for the night? He enjoys reading science fiction novels.,,,NON COMMAND
The broken chair was replaced with a new one. The train is running late today.,,,NON COMMAND
She was able to convert the PDF file to a Word document. She is taking a break from work to have a cup of coffee.,,,NON COMMAND
The author revised the book to make it more appealing to the audience. The sky is clear and blue on this beautiful day.,,,NON COMMAND
He amended the contract to include the new terms and conditions. He is driving to the airport to pick up his friend.,,,NON COMMAND
They exchanged greetings and talked about their favorite restaurants. The children are playing in the park and having fun.,,,NON COMMAND
She substituted the flour with gluten-free flour in the recipe. She is wearing a hat to protect herself from the sun.,,,NON COMMAND
"The editor asked the writer to rewrite the article with more specific details. The phone is ringing, but she doesn't recognize the number.",,,NON COMMAND
The software automatically corrects the grammar and spelling mistakes. He is watching a documentary about the history of art.,,,NON COMMAND
The tailor modified the shirt to add a pocket. The river is flowing rapidly after the recent rain.,,,NON COMMAND
She had to alter the size of the painting to fit the frame. She is studying for her final exams next week.,,,NON COMMAND
They decided to edit the video to add a background music. The television is showing a news program about the weather.,,,NON COMMAND
Can we swap our shifts for the next week? He is going to the gym to work out and stay in shape.,,,NON COMMAND
The broken phone screen was replaced with a new one. The birds are chirping in the trees outside.,,,NON COMMAND
She was able to convert the image to black and white for a vintage look. She is planning a trip to Europe for next summer.,,,NON COMMAND
The author revised the character's backstory to make it more believable. The room is quiet and peaceful after a long day.,,,NON COMMAND
He amended the policy to include more benefits for the employees. He is learning how to cook his favorite dish.,,,NON COMMAND
They exchanged gifts for Christmas. The traffic is heavy during rush hour.,,,NON COMMAND
She substituted the chicken with tofu in the recipe. She is writing a letter to her friend who lives overseas.,,,NON COMMAND
The writer had to rewrite the story to include a twist ending. The coffee shop on the corner makes the best lattes.,,,NON COMMAND
The software needs to be updated to fix the security vulnerabilities. He is playing chess with his grandfather.,,,NON COMMAND
The tailor altered the dress to add a sleeve. The clouds are moving quickly across the sky.,,,NON COMMAND
They had to modify the presentation to meet the time limit. She is wearing a necklace that was a gift from her mother.,,,NON COMMAND
Can we swap our textbooks for the semester? The bakery down the street sells delicious croissants.,,,NON COMMAND
The broken lock on the door was replaced with a new one. He is looking forward to spending time with his family over the holidays.,,,NON COMMAND
She was able to convert the video to a GIF for social media. The park is filled with children playing on the swings and slides.,,,NON COMMAND
The author revised the opening paragraph to hook the reader's attention. She is practicing yoga to help reduce stress.,,,NON COMMAND
He amended the schedule to accommodate for a new meeting. The movie theater is showing the latest blockbuster.,,,NON COMMAND
They exchanged compliments and talked about their favorite books. He is listening to a podcast on his commute to work.,,,NON COMMAND
She substituted the regular pasta with whole wheat pasta in the recipe. The flowers in the vase are wilting and need to be replaced.,,,NON COMMAND
The editor asked the writer to rewrite the article with a different perspective. She is walking her dog in the park.,,,NON COMMAND
The software can automatically update to the latest version. The book she is reading is a mystery novel.,,,NON COMMAND
The tailor modified the jacket to make it more stylish. He is attending a conference on artificial intelligence.,,,NON COMMAND
She had to alter the recipe to make it vegan. The rain is coming down hard and fast outside.,,,NON COMMAND
They decided to edit the picture to remove the red eye effect. She is baking a cake for her friend's birthday.,,,NON COMMAND
Can we swap cars for the weekend? The supermarket has a sale on fresh produce this week.,,,NON COMMAND
The broken light bulb was replaced with a new one.,,,NON COMMAND
She was able to convert the text to braille for accessibility.,,,NON COMMAND
The author revised the dialogue to make it more natural.,,,NON COMMAND
He amended the budget to allocate more funds for research.,,,NON COMMAND
"The sun is setting behind the horizon, painting the sky with beautiful colors.",,,NON COMMAND
"She loves to read books in her spare time, especially mystery novels.",,,NON COMMAND
The sound of rain tapping against the roof is soothing and calming.,,,NON COMMAND
He enjoys playing basketball with his friends after school.,,,NON COMMAND
The smell of freshly baked cookies fills the house with warmth and comfort.,,,NON COMMAND
She always makes sure to drink plenty of water throughout the day.,,,NON COMMAND
The view from the top of the mountain is absolutely breathtaking.,,,NON COMMAND
He likes to watch movies late at night when he can't fall asleep.,,,NON COMMAND
The smell of coffee brewing in the morning is the perfect wake-up call.,,,NON COMMAND
"She spends hours practicing her guitar every day, hoping to become a professional musician someday.",,,NON COMMAND
The sound of birds singing outside her window always puts her in a good mood.,,,NON COMMAND
He loves to travel and explore new cultures and cuisines.,,,NON COMMAND
"She volunteers at the local animal shelter on the weekends, playing with the dogs and cats.",,,NON COMMAND
The smell of the ocean and the sand between her toes make her feel alive and free.,,,NON COMMAND
"He enjoys hiking in the mountains, feeling the fresh air and sunshine on his face.",,,NON COMMAND
She works hard every day to achieve her dreams and aspirations.,,,NON COMMAND
The sound of the wind blowing through the trees is a reminder of the beauty of nature.,,,NON COMMAND
"He likes to write stories and poems in his free time, expressing his thoughts and emotions.",,,NON COMMAND
"She enjoys spending time with her family and friends, creating memories that will last a lifetime.",,,NON COMMAND
The smell of freshly cut grass and the sight of colorful flowers make the park a peaceful place to be.,,,NON COMMAND
He loves to cook and experiment with different flavors and ingredients.,,,NON COMMAND
She practices yoga and meditation to find inner peace and balance in her life.,,,NON COMMAND
The sound of waves crashing against the shore is a soothing and calming soundtrack for her.,,,NON COMMAND
"He works hard to maintain a healthy and active lifestyle, exercising and eating nutritious foods.",,,NON COMMAND
"She loves to sing and dance, expressing herself through music and movement.",,,NON COMMAND
The smell of fresh air and the sight of green trees and blue skies make the countryside a perfect getaway.,,,NON COMMAND
"He spends time with his grandparents, listening to their stories and learning from their wisdom.",,,NON COMMAND
"She enjoys painting and drawing, creating beautiful artwork that reflects her inner world.",,,NON COMMAND
The sound of laughter and the sight of smiling faces make her heart full and happy.,,,NON COMMAND
He likes to listen to podcasts and audiobooks while commuting or doing chores.,,,NON COMMAND
"She practices gratitude and mindfulness, finding joy in the small things in life.",,,NON COMMAND
The smell of freshly brewed tea and the warmth of a cozy blanket make a rainy day enjoyable.,,,NON COMMAND
"He volunteers at a homeless shelter, providing food and support to those in need.",,,NON COMMAND
"She values honesty, integrity, and empathy in her relationships and interactions with others.",,,NON COMMAND
The sound of thunder and the flash of lightning create a powerful and awe-inspiring experience.,,,NON COMMAND
"He likes to play video games and board games with his friends, challenging his skills and strategy.",,,NON COMMAND
"She reads books and articles on personal development and growth, seeking to become a better version of herself.",,,NON COMMAND
The smell of fresh herbs and spices makes cooking a delicious and aromatic experience.,,,NON COMMAND
"He spends time in nature, appreciating the beauty and complexity of the world around him.",,,NON COMMAND
"She practices self-care and self-love, taking care of her physical, emotional, and mental well-being.",,,NON COMMAND
The sound of children playing and laughing is a reminder of the innocence and joy of childhood.,,,NON COMMAND
The sun was shining brightly in the sky. The children played outside in the park all afternoon.,,,NON COMMAND
She wore a red dress to the party last night. He studied hard for his math test and earned an A.,,,NON COMMAND
"The dog barked loudly at the mailman. She took a long walk in the woods, enjoying the peaceful surroundings.",,,NON COMMAND
He drank a cup of coffee every morning. The cat curled up on the couch and fell asleep.,,,NON COMMAND
She watched a movie with her friends over the weekend. He went for a swim in the ocean on a hot summer day.,,,NON COMMAND
The flowers in the garden bloomed beautifully in the spring. She wrote a poem about the beauty of nature.,,,NON COMMAND
He listened to his favorite songs on the way to work. The bird chirped happily in its nest in the tree.,,,NON COMMAND
She cooked a delicious meal for her family last night. He likes to take long walks by the river and clear his mind.,,,NON COMMAND
"The sky is blue on a clear day. The sun is shining bright in the sky, casting a warm glow.",,,NON COMMAND
"I enjoy drinking tea in the morning. I love spending time with my pets, they bring me so much joy.",,,NON COMMAND
The flowers in the garden are in full bloom. She is a talented artist who can create beautiful works of art.,,,NON COMMAND
She always wears a smile on her face. He enjoys watching sports and cheering on his favorite team.,,,NON COMMAND
He loves to play with his dog in the park. The smell of a campfire brings back childhood memories.,,,NON COMMAND
The smell of freshly cut grass is refreshing. She likes to read books in the park on a sunny day.,,,NON COMMAND
I like to listen to music while I work. He has a love for history and enjoys learning about the past.,,,NON COMMAND
She enjoys going for a run in the morning. The sound of a waterfall is both calming and mesmerizing.,,,NON COMMAND
He is a talented musician who can play many instruments. She enjoys cooking meals for her loved ones and seeing them enjoy it.,,,NON COMMAND
"The sun is setting over the horizon, painting the sky with beautiful colors. He has a green thumb and loves to garden in his free time.",,,NON COMMAND
"She likes to spend her weekends exploring new places. The moon is bright in the night sky, casting a mysterious glow.",,,NON COMMAND
He has a passion for cooking and experimenting with new recipes. I enjoy going for a bike ride on a nice day.,,,NON COMMAND
The sound of rain tapping against the window is soothing. She is a good listener who always offers a kind ear.,,,NON COMMAND
She enjoys watching the stars in the night sky. He likes to go for a swim in the ocean and feel the salt water on his skin.,,,NON COMMAND
He likes to read books by the fireplace on a cold winter day. The smell of a freshly mowed lawn is invigorating.,,,NON COMMAND
The smell of freshly brewed coffee wakes me up in the morning. She loves to travel and experience new cultures.,,,NON COMMAND
She loves spending time with her family and friends. He enjoys hiking and exploring new trails.,,,NON COMMAND
He is fascinated by science and technology. The sunflowers in the field are a beautiful sight to see.,,,NON COMMAND
The ocean is vast and full of wonders. I like to take long hot baths after a stressful day.,,,NON COMMAND
I enjoy watching movies on a lazy Sunday afternoon. She is a talented singer who can move her audience with her voice.,,,NON COMMAND
She is an excellent writer who can captivate her readers. He has a love for animals and enjoys spending time with them.,,,NON COMMAND
"He has a talent for photography, capturing beautiful moments in life. The sound of a thunderstorm is both exhilarating and frightening.",,,NON COMMAND
The sound of birds chirping in the morning is a pleasant wake-up call. She enjoys watching the sunset and reflecting on the day.,,,NON COMMAND
She loves to dance and express herself through movement. He likes to watch documentaries and learn about the world around him.,,,NON COMMAND
He is always eager to learn new things and broaden his horizons. The smell of a fresh pot of soup on the stove is comforting.,,,NON COMMAND
The smell of a freshly baked pie is irresistible. She loves to paint and express herself through art.,,,NON COMMAND
"She enjoys spending time in nature, taking in the sights and sounds. Maria loves to go for walks in the park.",,,NON COMMAND
Rahul asked me when I was leaving. John is a talented musician who can play many instruments.,,,NON COMMAND
"The stranger asked Aladdin where he lived. Sarah enjoys trying new foods and flavors, expanding her palate.",,,NON COMMAND
The teacher asked Shelly why he was laughing. Alex is fascinated by the intricacies of the human mind and behavior.,,,NON COMMAND
Dhronacharya ordered Arjun to shoot the fish’s eye. Emily spends hours practicing yoga to stay centered and calm.,,,NON COMMAND
The jury ordered to call the first convict. David likes to read books by the fireplace on a cold winter day.,,,NON COMMAND
The man urged to call the ambulance. Ava enjoys spending time with her family and friends.,,,NON COMMAND
Bruce said to me he would do the work. Michael is a talented artist who can create beautiful works of art.,,,NON COMMAND
My mother told me that I was wrong. Rachel has a passion for cooking and experimenting with new recipes.,,,NON COMMAND
Mr Richard requested me to wait there till he returned. Matthew loves to play with his dog in the park.,,,NON COMMAND
"The captain applauded me, saying that I had played well. Olivia is always eager to learn new things and broaden her horizons.",,,NON COMMAND
Raj exclaimed sadly that his pet died. Daniel is fascinated by science and technology.,,,NON COMMAND
Ruchi said that she might go there. Emma enjoys going for a run in the morning.,,,NON COMMAND
Bucky asked Steve if he heard him. Lucas is a good listener who always offers a kind ear.,,,NON COMMAND
The boy asked to let him come in. Sophia likes to listen to music while she works.,,,NON COMMAND
"Granny prayed that God might bless me. Ethan is determined to make a positive impact in the world, one small step at a time.",,,NON COMMAND
Chloe loves to travel and experience new cultures. Isabella has a love for science and enjoys conducting experiments.,,,NON COMMAND
Ryan is an excellent writer who can captivate his readers. Christopher likes to read books in the park on a sunny day.,,,NON COMMAND
"Lily has a talent for photography, capturing beautiful moments in life. Sophia enjoys spending time with her friends and catching up over coffee.",,,NON COMMAND
Jason is always up for a game of basketball with his friends. William is always up for trying new things and stepping out of his comfort zone.,,,NON COMMAND
"Victoria enjoys spending time in nature, taking in the sights and sounds. Madison loves to dance and express herself through movement.",,,NON COMMAND
Isaac likes to take long walks by the river and clear his mind. Alexander enjoys watching sports and cheering on his favorite team.,,,NON COMMAND
Grace has a green thumb and loves to garden in her free time. Charlotte is fascinated by space and loves to stargaze at night.,,,NON COMMAND
Benjamin is fascinated by history and enjoys learning about the past. Nicholas likes to take road trips and explore new cities.,,,NON COMMAND
"Ava loves spending time with her pets, they bring her so much joy. Olivia is a talented artist who can create beautiful works of art.",,,NON COMMAND
Thomas likes to go for a swim in the ocean and feel the salt water on his skin. Henry loves to go for a bike ride on a nice day.,,,NON COMMAND
Emily enjoys cooking meals for her loved ones and seeing them enjoy it. Elizabeth enjoys going for walks in the countryside and taking in the scenery.,,,NON COMMAND
Samuel has a love for animals and enjoys spending time with them. Christopher likes to spend his weekends camping and enjoying the great outdoors.,,,NON COMMAND
Amelia is a talented singer who can move her audience with her voice. Isabella enjoys watching the stars in the night sky and marveling at their beauty.,,,NON COMMAND
Jack likes to watch documentaries and learn about the world around him. Noah has a passion for architecture and enjoys studying different styles and designs.,,,NON COMMAND
Mia enjoys watching the sunset and reflecting on the day. Ava likes to go to the beach and feel the sand between her toes.,,,NON COMMAND
Ethan likes to play board games with his family on a rainy day. Lucas enjoys spending time with his siblings and playing games together.,,,NON COMMAND
Lily loves to paint and express herself through art. Chloe loves to read books on a lazy Sunday afternoon.,,,NON COMMAND
Jacob enjoys hiking and exploring new trails. The percentage of people who own a car is 80%.,,,NON COMMAND
"He is 30 years of age and works as a software engineer. The amount of money she spent on her vacation was $2,000.",,,NON COMMAND
Tokyo is a city known for its bustling streets and modern architecture. He is 25 years of age and just started his own business.,,,NON COMMAND
